No. OT,Mes de Venta,Mes de Impartición,Cliente,Rubro,Programa,Promotor,  Contratado OT,Gastos OT,Contribución Marginal,% Contribución Marginal Real,No. Factura,Facturado,% vs OT,Fecha Deposito,Cobrado,% vs Factura,Por Cobrar,Por Facturar,Impartición,Desarrollo,Materiales,Arrendamientos,Viáticos,Alimentos y Otros,Total,Comprobación,Inicial,Final,% Contribución Marginal Inicial,Diferencia vs Inicial
1,Enero,,PROGALENIKA,Impartición,Finanzas en la Mercadotecnia,Fabiola Galvan,"72,000.00","23,150","48,850",68%,"EMP116581,EMP116585,EMP118985,EMP1118986","72,000.00",100%,24-ene-17,"36,000.00",50%,"36,000",0,"16,560.00","4,500.00","2,089.56",0.00,0.00,0.00,"23,149.56",0.00,X,X,65%,2.7%
2,Enero,,ARG,Impartición,Contact Center,Antonio Villagrán,"61,600.00","6,775","54,825",89%,EMP120637,"61,600.00",100%,03-mar-17,"61,600.00",100%,0,0,"4,000.00","1,000.00","1,774.95",,,,"6,774.95",0.00,X,X,92%,-2.6%
3,Enero,,BTICINO,Impartición,Taller Excel,Susana Hernández,"82,500.00","33,910","48,590",59%,EMP114439,"165,000.00",200%,,,0%,"165,000","82,500","6,000.00",,533.06,"4,224.00",,923.00,"11,680.06","-22,229.86",X,,51%,7.6%
4,Enero,,CRÉDITO REAL,Impartición,Taller Fideicomisos,Daniel Solano,"26,000.00","13,144","12,856",49%,EMP114464,"26,000.00",100%,12-ene-17,"26,000.00",100%,0,0,"8,000.00","4,000.00","1,144.00",,,,"13,144.00",0.00,X,X,54%,-4.8%
5,Enero,,MAVY,Impartición,Conferencia,Isaura Ruiz,"28,500.00","9,050","19,450",68%,"EMP114463,EMP117929","28,500.00",100%,25-ene-17,"28,500.00",100%,0,0,"9,000.00",,,,,50.00,"9,050.00",0.00,X,X,68%,-0.2%
6,Enero,,WALMART,Impartición,Talento Humano,Daniel Solano,"62,400.00","18,061","44,339",71%,"EMP116588,EMP116589","62,400.00",100%,21-mar-17,"62,400.00",100%,0,0,"12,000.00","3,000.00","2,206.56",200.00,,654.31,"18,060.87",0.00,X,X,62%,9.0%
7,Enero,,ASPEL,Desarrollo,Artículos 2017,Yefte Hernández,"429,624.00","171,990","257,634",60%,VARIAS,"107,406.00",25%,,,0%,"107,406","-322,218",,"171,990.00",,,,,"171,990.00",0.00,X,,60%,0.0%
8,Enero,,UPL AGRO,Impartición,Comunicaciones Difíciles,Fabiola Galvan,"28,000.00","3,836","24,164",86%,EMP118490,"28,000.00",100%,10-feb-17,"28,000.00",100%,0,0,"3,000.00",,836.00,,,,"3,836.00",0.00,X,X,70%,16.0%
9,Enero,,BNP PARIBÁS,Impartición,Administración Integral de Riesgo,Daniel Solano,"192,000.00","45,025","146,975",77%,EMP119101,"192,000.00",100%,03-feb-17,"192,000.00",100%,0,0,"39,680.00","3,000.00","2,344.65",,,,"45,024.65",0.00,X,X,72%,4.8%
10,Enero,,LUFTHANSA,Impartición,Programa de Outplacement,Fabiola Galvan,"45,000.00","14,366","30,634",68%,EMP124512,"45,000.00",100%,02-mar-17,"45,000.00",100%,0,0,"7,950.00",,"1,120.72","5,295.00",,,"14,365.72",0.00,X,X,60%,8.4%
11,Enero,,SAT,Impartición,Operaciones Financieras Derivadas,Antonio Villagrán,"120,000.00","50,216","69,784",58%,E-005,"120,000.00",100%,09-mar-17,"120,000.00",100%,0,0,"32,000.00","3,000.00","6,515.86",,"8,700.00",,"50,215.86",0.00,X,X,65%,-6.8%
12,Enero,,ARG,Impartición,Módulo 15,Antonio Villagrán,"168,000.00","41,195.50","126,805",75%,EMP114444,"168,000.00",100%,19-ene-17,"168,000.00",100%,0,0,"40,260.00",,535.50,400.00,,,"41,195.50",0.00,X,X,76%,0.0%
13,Enero,,CHUPA CHUPS,Consultoría,Certificación en Ventas,Daniel Solano,"47,600.00","21,865","25,735",54%,EMP123139,"23,800.00",50%,,,0%,"23,800","-23,800","8,000.00","5,925.00","2,298.00",,,"5,641.76","21,864.76",0.00,X,,54%,0.0%
14,Enero,,BOSTON,Impartición,Habilidades Financieras,Daniel Solano,"324,000.00","77,437","246,563",76%,EMP11283,"324,000.00",100%,10-feb-17,"324,000.00",100%,0,0,"52,800.00","4,800.00","12,109.00",,"7,728.47",,"77,437.47",0.00,X,X,81%,-4.9%
15,Enero,,SIKA,Impartición,Taller Excel,Susana Hernández,"18,781.00","7,447","11,334",60%,EMP110368,"18,781.00",100%,,,0%,"18,781",0,"4,000.00",,247.40,"3,200.00",,0.00,"7,447.40",0.00,X,X,55%,5.3%
