ID Empresa:,,,,,,,,,,,
RFC:,,,,,,,,,,,
Folio:,,,,,,,,,,,
Fecha Inicial:,,,,,,,,,,,
Fecha Final:,,,,,,,,,,,
Pagos,,,,,,,,,Factura,,
ID,Usuario,Fecha de elaboración,Tipo de factura,Importe,Conceptos,Empresa,Serie,Rfc,Folio,Fecha de factura,Estatus
67,g.velazquez004,02/08/2017,FACTURA,41530.32,"DESARROLLO DE ARTÍCULOS 2017, 8 DE 12.. ",EBC,EMP,AME860107KD9,148394,02/08/2017,FACTURADO
1469,g.velazquez004,31/07/2017,FACTURA,32364,"ENCUESTA LUMINA, ORDEN DE COMPRA: P81 0087024147-Y6H.. ",EBC,EMP,RBS960314JN8,147832,31/07/2017,FACTURADO
1427,g.velazquez004,25/07/2017,FACTURA,27840,CURSO ADMINISTRACIÓN DE PLATAFORMAS EDUCATIVAS.. ,EBC,EMP,BNO670315CD0,146823,25/07/2017,FACTURADO
1427,g.velazquez004,25/07/2017,FACTURA,230260,CURSO NORMATIVIDAD CREDITICIA INSTITUCIONAL.. ,EBC,EMP,BNO670315CD0,146822,25/07/2017,FACTURADO
2165,g.velazquez004,25/07/2017,FACTURA,2981.2,SERVICIOS ADMINISTRATIVOS DE CAPACITACIÓN.. ,EBC,EMP,PMA881128Q28,146821,25/07/2017,FACTURADO
2192,g.velazquez004,20/07/2017,FACTURA,19488,"TALLER DE FORMACIÓN DE INSTRUCTORES GRUPO 2, DURACIÓN: 8 HORAS, 15 PARTICIPANTES, 28 DE JULIO 2017, QUERÉTARO.. ",EBC,EMP,EPV021127JD3,145885,20/07/2017,FACTURADO
2192,g.velazquez004,20/07/2017,FACTURA,19488,"TALLER DE FORMACIÓN DE INSTRUCTORES GRUPO 1, DURACIÓN: 8 HORAS, 15 PARTICIPANTES, 21 DE JULIO 2017, QUERÉTARO.. ",EBC,EMP,EPV021127JD3,145884,20/07/2017,FACTURADO
464,g.velazquez004,20/07/2017,FACTURA,58000,"IMPARTICIÓN DEL PROGRAMA INSTITUCIONAL, LABORATORIO 3.. ",EBC,EMP,ARG990409TB3,145883,20/07/2017,FACTURADO
1487,g.velazquez004,18/07/2017,FACTURA,84305.09,"CURSO LIDERAZGO TRANSFORMACIONAL, 1 DE 2.. ",EBC,EMP,SAG971204IP9,145151,18/07/2017,FACTURADO
1140,g.velazquez004,17/07/2017,FACTURA,52200,"S030400001 CURSO: ""REINGENIERÍA E INNOVACIÓN DE PROCESOS"", LOS DÍAS 12, 14, 16, 19, 21, 23, 26 Y 28 DE JUNIO DE 2017, DE 16:30 A 19:00 HRS. DURACIÓN TOTAL: 20 HORAS. CONFORME COTIZACIÓN ANEXA.. ",EBC,EMP,HCD1108216E6,144843,17/07/2017,FACTURADO
1998,g.velazquez004,17/07/2017,FACTURA,38280,TALLER DE FINANZAS PARA NO FINANCIEROS.. ,EBC,EMP,ALL060216PCA,144842,17/07/2017,FACTURADO
98,g.velazquez004,12/07/2017,FACTURA,65888,"CURSO TALLER ""REDACCIÓN Y COMUNICACIÓN EFICAZ"", DURACIÓN: 16 HORAS, FECHAS: 4,5,11 Y 12 DE JULIO.. ",EBC,EMP,AXX970225GL0,144371,12/07/2017,FACTURADO
1394,g.velazquez004,11/07/2017,FACTURA,31900,"TALLER ADMINISTRACIÓN DE PROYECTOS, DURACIÓN: 8 HORAS, PARTICIPANTES: 14, FECHAS: 13 Y 20 DE JULIO.. ",EBC,EMP,GHN571231C19,144280,11/07/2017,FACTURADO
2165,g.velazquez004,11/07/2017,FACTURA,430882,DIPLOMADO INSPIRA.. ,EBC,EMP,PMA881128Q28,144277,11/07/2017,FACTURADO
8,g.velazquez004,11/07/2017,FACTURA,162400,"GASTOS DE TITULACIÓN PARA 20 ALUMNOS, ESPECIALIDAD DE CONTROL INTERNO.. ",EBC,EMP,BIM011108DJ5,144258,11/07/2017,FACTURADO
1,g.velazquez004,11/07/2017,FACTURA,20880,CONFERENCIA INNOVACIÓN.. ,EBC,EMP,MSE991014MY8,144257,11/07/2017,FACTURADO
2164,g.velazquez004,10/07/2017,FACTURA,34220,"CURSO ANÁLISIS DE ESTADOS FINANCIEROS, DURACIÓN: 12  HORAS, 20 PARTICIPANTES, FECHAS: 11, 12 Y 13 DE JULIO 2017.. ",EBC,EMP,FAT840425QD6,144119,10/07/2017,FACTURADO
2157,g.velazquez004,06/07/2017,FACTURA,6844,1 EVALUACIÓN DE POTENCIAL.. ,EBC,EMP,FAQ080219970,143840,06/07/2017,FACTURADO
